Time,V1,V2,Amount,Class
0,-1.2,0.4,12.5,0
1,0.1,-0.3,45.0,0
2,2.1,1.0,99.9,1
3,-0.5,0.2,10.0,0
4,0.0,0.0,1.0,0
5,3.0,-1.0,250.0,1
6,-2.0,2.0,33.3,0
7,0.4,0.1,8.0,0
8,1.1,0.9,120.0,1
9,-0.1,-0.1,15.0,0
10,0.7,0.0,60.0,0
11,4.0,0.2,400.0,1
12,-1.0,-1.0,20.0,0
13,0.2,0.2,22.0,0
14,1.5,0.5,75.0,0
15,0.8,-0.8,30.0,0
16,2.5,1.2,180.0,1
17,-0.3,0.3,11.0,0
18,0.0,1.5,55.0,0
19,1.0,0.0,90.0,1
20,-1.5,-0.5,18.0,0
21,0.6,0.6,40.0,0
22,3.2,0.1,300.0,1
23,-0.8,0.0,9.0,0
24,0.3,-0.4,25.0,0
25,1.8,0.7,140.0,1
26,-2.2,0.2,14.0,0
27,0.5,0.5,35.0,0
28,2.0,-0.9,200.0,1
29,-0.4,0.8,16.0,0
30,0.9,-0.2,48.0,0
31,3.5,0.0,350.0,1
32,-1.1,1.1,19.0,0
33,0.2,-0.1,27.0,0
34,1.2,0.3,88.0,0
35,2.8,0.5,210.0,1
36,-0.6,-0.6,13.0,0
37,0.0,0.9,31.0,0
38,4.1,0.0,410.0,1
39,-1.8,0.4,17.0,0
40,0.4,0.0,29.0,0
41,1.6,0.8,95.0,1
42,-0.2,-0.8,12.0,0
43,0.7,0.2,38.0,0
44,2.3,0.0,190.0,1
45,-1.0,0.5,21.0,0
46,0.1,0.1,24.0,0
47,3.1,-0.3,280.0,1
48,-0.9,0.9,10.0,0
49,0.5,-0.5,32.0,0
